No,makanan,minuman
37,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 16, 13, 14, 15]","[3, 6, 4, 5]"
38,"[4, 5, 7, 8, 11, 12, 14]","[1, 2, 5]"
39,"[1, 4, 5, 14, 15]","[1, 5]"
40,"[1, 3, 4, 7, 8]",[0]
41,"[4, 5, 6, 7, 15]","[1, 0, 4, 6]"
42,"[4, 5, 9]","[0, 8]"
43,"[1, 2, 3, 4, 5, 6, 7, 16, 14, 15]","[1, 7, 0, 8, 3, 6, 4, 5]"
44,"[1, 3, 5, 14]","[1, 2, 3, 4, 5]"
45,"[1, 2, 4, 5, 6, 7]","[1, 2, 7, 5]"
46,"[1, 5, 6]",[5]
47,"[1, 5, 15]","[0, 8]"
48,"[1, 2, 4, 5, 6, 7, 8, 9, 16, 15]","[2, 0, 8, 6, 4, 5]"
49,"[1, 4, 5, 6, 7, 8, 14]","[1, 2, 7, 0, 8, 6, 4, 5]"
50,"[1, 5, 7, 14]",[10]
51,[25],[5]
52,"[4, 5, 6, 7, 8, 10, 16, 13, 14, 15]","[1, 2, 7, 0, 3, 4, 5]"
53,"[1, 5, 6, 7, 8, 9, 10, 16, 11, 12, 17, 13, 14, 15]","[1, 0]"
54,[1],[7]
55,"[1, 3, 4, 5, 7, 9, 10, 16, 14, 24]","[2, 7, 0, 4, 5]"
56,"[2, 4, 5, 6, 8, 16, 14, 15]","[1, 2, 0, 8, 3, 4, 5]"
57,"[1, 2, 3, 4, 5, 6, 7, 10, 14]","[2, 0, 4, 5]"
58,"[1, 2, 3, 4, 5, 6, 7, 9, 16, 14, 0]","[4, 5]"
59,"[1, 7, 15, 14]","[7, 5, 4]"
60,[],[]
61,"[1, 3, 4, 5, 6, 7, 15, 26]",[0]
62,"[3, 4, 5, 15]","[1, 7]"
63,"[1, 2, 4, 5, 13, 14]","[1, 2, 7, 0, 8, 3, 4, 5]"
64,"[1, 5, 10, 13]",[7]
65,"[1, 2, 27]","[1, 2, 0]"
66,"[2, 4, 6, 7, 10, 16, 17, 14]","[3, 6, 4, 5]"
67,"[4, 5, 6, 7, 8, 10, 13, 14, 15]","[1, 2, 7, 0, 3, 5]"
68,"[1, 5, 6, 7, 14]","[2, 7]"
69,"[1, 6, 7, 13]",[0]
70,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 16, 14, 28, 29]","[2, 0, 8, 3, 4]"
71,"[1, 5, 6, 7, 9, 10, 16, 14, 15]","[1, 2, 0, 8, 6, 5]"
72,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 11, 12, 17, 13, 14, 15]","[1, 2, 7, 0, 3, 6, 4, 5]"
73,[1],[2]
74,"[2, 5, 14]",[0]
75,"[1, 5, 6, 8, 10, 14]","[1, 2, 5, 8]"
76,"[1, 4, 7, 14]","[1, 4]"
77,"[3, 4, 5, 6, 7, 8, 9, 10, 16, 14, 15]","[1, 2, 5]"
78,"[5, 8, 15]","[2, 3, 5]"
79,"[1, 3, 4, 5, 6, 10, 16, 13, 14, 15]","[0, 6]"
80,"[1, 2, 5, 14, 15]","[1, 2, 0]"
81,"[3, 4, 5, 8, 11, 13, 14, 15]","[2, 8, 5]"
82,"[1, 2, 4, 5, 6, 7, 9, 10, 16, 14, 15]",[5]
83,"[1, 2, 5, 6, 7, 8, 10, 16, 14, 15]","[1, 2, 7, 0, 3, 4, 5]"
84,"[4, 5, 7, 8, 10, 15]","[0, 8, 6]"
85,"[1, 2, 5]","[2, 8]"
86,"[1, 5, 8, 13, 15]","[3, 4, 5]"
87,"[1, 4, 5, 7, 15]","[0, 4, 5]"
88,"[1, 4, 5, 15]","[1, 8, 6]"
89,"[1, 4, 5, 15]","[3, 4, 5]"
90,"[1, 2, 4, 5, 6, 7, 16, 11, 13, 15]","[7, 8, 3, 6]"
91,"[1, 5, 6, 14, 15]","[1, 0]"
92,"[1, 4, 5, 6, 24, 15]","[2, 7, 0, 3, 6, 5]"
93,"[4, 5, 28]","[1, 0]"
94,"[1, 2, 5, 6, 7, 14, 15]","[3, 6, 4, 5]"
95,"[1, 2, 3, 4, 5, 7, 10, 16, 11, 12, 17, 13, 14, 15]","[1, 2, 7, 0, 8, 3, 6, 4, 5]"
96,"[1, 2, 3, 4, 5, 7]","[2, 3, 4]"
97,"[1, 4, 5, 7, 14]","[2, 7, 0, 4, 5]"
98,"[7, 10, 13, 15]","[8, 4]"
99,"[1, 6, 9, 17]",[10]
100,"[1, 8, 10, 15, 24]",[5]
101,"[1, 5, 15]","[1, 2, 7, 3]"
102,"[1, 5, 6, 7, 8, 16, 17, 13, 14]","[1, 10]"
103,"[1, 5, 8, 9, 10, 13, 14]","[1, 2, 7]"
104,"[1, 4, 5, 8]","[1, 2, 11]"
105,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 17]","[1, 2, 3, 4, 5]"
106,"[1, 3, 5, 6, 14, 15]","[1, 2, 7, 3, 5]"
107,"[3, 8, 13]","[1, 2, 7, 0, 5]"
108,"[1, 5, 14, 15]","[2, 0, 6, 5]"
109,"[4, 5, 7, 10, 13, 14]","[1, 8, 3]"
110,"[1, 2, 3, 4, 5, 6, 7, 9, 16, 14, 15]","[0, 6, 5]"
111,"[1, 5, 6, 7, 8, 16, 13, 14, 15, 24]","[0, 3, 6, 8]"
112,"[1, 4, 7, 9, 16]","[1, 2, 0, 8, 3, 6, 4, 5]"
113,"[4, 5, 6, 7, 9, 14, 15]","[0, 8, 3]"
114,"[5, 6, 8, 14, 15]","[1, 2, 7, 8, 3, 5]"
115,"[1, 4, 5, 6, 14]","[8, 5]"
116,"[1, 2, 4, 5, 15]","[1, 2, 7, 0, 8, 4]"
117,"[1, 5, 14]",[5]
118,"[1, 5, 7, 9, 13]",[5]
119,"[5, 14]",[3]
120,"[1, 3, 5, 9, 10, 14]","[2, 0, 3, 5]"
121,"[1, 4, 7, 10, 14, 15, 26]","[1, 2, 7, 0]"
122,"[1, 5, 6, 7, 14, 15]","[0, 8, 11]"
123,[5],"[2, 3]"
124,"[4, 5, 8, 16]","[7, 0, 3, 6, 4, 5]"
125,"[1, 5, 15]","[1, 3, 5]"
126,"[1, 5, 7, 8, 10, 13, 15]","[1, 2, 7]"
127,"[1, 5, 6, 9, 10, 13, 14, 15, 26]","[2, 7, 0, 10]"
128,"[1, 5, 6, 10, 14]","[1, 3, 6, 4, 5]"
129,"[4, 5, 6, 14, 26]","[8, 3]"
130,"[5, 7, 14, 15]","[8, 5]"
131,"[1, 2, 5]","[1, 2, 7]"
132,"[5, 9, 15]",[5]
133,"[7, 9, 14, 15, 26]",[0]
134,"[1, 5, 9, 11]",[10]
135,"[1, 5, 15, 26]",[0]
136,"[1, 5, 6, 7, 8, 26]","[3, 5]"
137,"[1, 2, 3, 4, 5, 6, 8, 9, 13, 14, 15, 26]",[7]
138,"[1, 4, 5, 6, 11, 14, 15]","[1, 7]"
139,"[5, 6]","[1, 2]"
140,"[1, 6, 26]",[2]
141,"[1, 3, 4, 6, 7, 8, 9, 10, 16, 13, 14, 15, 26]","[2, 0, 8, 3, 5]"
142,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 16, 13, 14, 15, 26]","[1, 2, 0, 3, 6, 5]"
143,"[5, 6, 9, 14]",[5]
144,"[4, 5, 14, 15, 19]",[3]
145,"[1, 4, 7, 14, 15]",[0]
146,"[1, 5, 14]",[0]
147,"[1, 5, 7]","[1, 7]"
148,"[1, 4, 5, 6, 8, 14]",[5]
149,"[4, 5, 6, 13, 14]","[1, 7]"
150,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 13, 14, 15, 26]","[2, 0, 8, 4, 5]"
151,"[5, 6, 14]",[0]
152,"[4, 6, 7, 14, 26]",[0]
153,"[1, 2, 5]","[1, 2, 0]"
154,[3],[0]
155,[5],"[7, 5]"
156,"[1, 2, 6, 14, 26]",[10]
157,"[1, 5, 7, 11, 14, 15, 26]","[1, 0, 8, 3, 6, 4, 5]"
158,"[1, 5, 14]",[0]
159,"[1, 5, 6, 7, 8, 15, 26]",[0]
160,"[1, 5, 15]","[1, 2, 8, 3, 4]"
161,"[1, 5, 7]","[0, 3, 6, 4]"
162,"[1, 2, 5, 6, 7, 10, 14]","[0, 5]"
163,"[1, 5, 15]","[2, 7, 5]"
164,"[1, 9, 16, 14]","[0, 8, 3, 4]"
165,"[4, 7, 8, 15]",[8]
166,"[1, 2, 6, 14, 26]","[0, 10]"
167,"[2, 4, 5, 6, 7, 14]","[1, 2, 5]"
168,"[5, 6, 14, 15, 26]","[0, 8, 5, 10]"
169,"[2, 5, 13, 26]",[10]
170,"[1, 3, 4, 5, 26]","[1, 2, 7]"
171,"[1, 4, 5, 6, 10, 14, 15]","[1, 7]"
172,"[1, 2, 4, 6, 8, 9, 11, 12, 17, 13, 15]","[1, 7, 0, 5, 10]"
173,[1],[6]
174,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 11, 12, 17, 13, 14, 15, 26]","[2, 8, 3, 5]"
175,"[1, 2, 5, 6, 15]","[2, 0, 8, 3, 6, 5]"
176,"[1, 2, 3, 4, 5, 6, 7, 8, 16, 15, 26]",[0]
177,"[1, 5, 6, 15, 26]",[2]
178,"[1, 5, 6, 8, 9, 14, 26]","[1, 5]"
179,"[1, 3, 5, 14, 15]","[0, 4]"
180,"[1, 4, 5, 6, 7, 8, 9, 10, 13, 14]",[0]
181,"[1, 4, 6, 8, 9, 10, 12, 13, 15, 26]","[0, 5]"
182,"[6, 30]",[10]
183,"[2, 5, 6, 26]",[10]
184,"[1, 5, 6, 14]","[1, 2, 7]"
185,"[1, 5, 6, 7, 13, 14, 15, 26]","[2, 0, 8, 6, 4, 5]"
186,"[1, 2, 5, 8, 9, 14]","[1, 7, 8]"
187,"[1, 3, 4, 5, 26]","[1, 2, 7]"
188,"[1, 5, 7, 8, 13, 14, 15, 26]","[1, 0, 4, 5]"
189,"[5, 10, 13, 14, 15, 31, 15, 20, 24]","[1, 6, 4, 5, 12]"
190,"[5, 10, 14, 15]",[0]
191,"[4, 6, 7, 14, 26]",[0]
192,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 11, 12, 17, 13, 14, 15, 26]","[1, 2, 7, 0, 8, 3, 6, 4, 5]"
193,"[1, 9, 10, 16]","[1, 2, 7, 3, 4, 5]"
194,"[1, 4, 5, 6, 8, 14]",[5]
195,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 11, 12, 17, 13, 14, 15, 26]","[1, 2, 7, 0, 8, 3, 6, 4, 5]"
196,"[1, 3, 4, 5, 26]","[1, 2, 7]"
197,"[1, 3, 5, 6, 7, 8, 9, 10, 16, 13, 15, 26]","[2, 0, 3, 5]"
